Admitted,Place,Case_Year,Admitted,Found_on,Brought_in_after,City,County,Reason,Reason_edited,Reason_e,First_aid,Species,Species_e,Sex,Sex_e,Age,Age_e,G_O,Disposition,DDate,weight,BCS,attitude,dehydration,head,CNS,cardiopulmonary,GI,musculoskeletal,integument,body,forelimb,forelimb_e,hindlimb,hindlimb_e,treatment,Heat,Fluids,NSAID,Antibiotic,Steroid,treatment_e,admit_date,found_date,ID,r,Disposition_binary,F_Aid,month,season
1993-12-27,Lindsey,1993,1993-12-27,1993-12-27,0,Concord,Contra Costa County,Couldn't fly,unknown,unknown,water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-12-28 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"nektarplus ,heat",1.0,1.0,0.0,0.0,0.0,yes,1993-12-27,1993-12-27,562_ANHU,unknown,Died,Yes,12,Winter
1993-12-30,Lindsey,1993,1993-12-30,1993-12-30,0,Pleasant Hill,Contra Costa County,"On ground, can't fly.  Possible cat-caught.",caught by domestic animal,caught by domestic animal,sugar water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1993-12-30 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1993-12-30,1993-12-30,563_ANHU,caught by domestic animal,Died,Yes,12,Winter
1994-01-11,Lindsey,1994,1994-01-11,1994-01-11,0,Pleasanton,Alameda County,caught by domestic animal,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died in 24hr,1994-01-12 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, LRS",1.0,0.0,0.0,0.0,0.0,yes,1994-01-11,1994-01-11,564_ANHU,caught by domestic animal,Died,No,1,Winter
1994-02-05,Lindsey,1994,1994-02-05,1994-02-04,1,Walnut Creek,Contra Costa County,Found on ground outside of sliding glass door.,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized +24hr,1994-02-08 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1994-02-05,1994-02-04,565_ANHU,found on the ground,Died,Yes,2,Winter
1994-02-10,Lindsey,1994,1994-02-10,1994-02-10,0,Berkeley,Alameda County,Robin P. called by Montclair - too young,unknown,unknown,water,ANHU,Non-selasphorus,unknown,unknown,Weeks,Nestling,Non-selasphorus spp.,Released,1994-03-10 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1994-02-10,1994-02-10,566_ANHU,unknown,Released,Yes,2,Winter
1994-02-19,Lindsey,1994,1994-02-19,1994-02-17,2,Concord,Contra Costa County,Grandma found outside in back yard. on ground. could pick up. Seems to have a toe or claw missing,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1994-02-20 00:00:00,3.25,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1994-02-19,1994-02-17,568_ANHU,found on the ground,Died,Yes,2,Winter
1994-02-24,Lindsey,1994,1994-02-24,1994-02-24,0,Walnut Creek,Contra Costa County,on side of road,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Released,1994-03-09 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food (pjn)",1.0,0.0,0.0,0.0,0.0,yes,1994-02-24,1994-02-24,573_ANHU,found on the ground,Released,No,2,Winter
1994-02-25,Lindsey,1994,1994-02-25,1994-02-25,0,Hayward,Alameda County,"On ground, couldn't fly, flapping",found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized +24hr,1994-03-01 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat.,1.0,0.0,0.0,0.0,0.0,yes,1994-02-25,1994-02-25,574_ANHU,found on the ground,Died,No,2,Winter
1994-02-26,Lindsey,1994,1994-02-26,1994-02-26,0,Concord,Contra Costa County,"sitting on clothesline crying, would not fly away",found on the ground,found on the ground,unknown,ANHU,Non-selasphorus,unknown,unknown,Nestling,Nestling,Non-selasphorus spp.,Released,1994-04-09 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food (pjn)",1.0,0.0,0.0,0.0,0.0,yes,1994-02-26,1994-02-26,575_ANHU,found on the ground,Released,No,2,Winter
1994-02-28,Lindsey,1994,1994-02-28,1994-02-27,1,El Sobrante,Contra Costa County,"Not flying,  near patio  door on ground",found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Died +24hr,1994-03-01 00:00:00,5.00,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, fed nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1994-02-28,1994-02-27,577_ANHU,found on the ground,Died,Yes,2,Winter
1994-03-04,Lindsey,1994,1994-03-04,1994-03-04,0,El Cerrito,Contra Costa County,unknown,unknown,unknown,unknown,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Euthanized +24hr,1994-03-14 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat.,1.0,0.0,0.0,0.0,0.0,yes,1994-03-04,1994-03-04,580_ANHU,unknown,Died,No,3,Spring
1994-03-09,Lindsey,1994,1994-03-09,1994-03-09,0,Pleasant Hill,Contra Costa County,,unknown,unknown,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Euthanized +24hr,1994-03-11 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1994-03-09,1994-03-09,581_ANHU,unknown,Died,No,3,Spring
1994-03-11,Lindsey,1994,1994-03-11,1994-03-10,1,Concord,Contra Costa County,Found on ground,found on the ground,found on the ground,sugar water,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1994-03-11 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"heat, food",1.0,0.0,0.0,0.0,0.0,yes,1994-03-11,1994-03-10,582_ANHU,found on the ground,Died,Yes,3,Spring
1994-03-13,Lindsey,1994,1994-03-13,1994-03-13,0,Concord,Contra Costa County,cat brought in to house,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Released,1994-04-18 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,Heat.,1.0,0.0,0.0,0.0,0.0,yes,1994-03-13,1994-03-13,583_ANHU,caught by domestic animal,Released,No,3,Spring
1994-03-14,Lindsey,1994,1994-03-14,1994-03-14,0,Danville,Contra Costa County,On ground unable to fly.,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Adult,adult-like,Non-selasphorus spp.,Euthanized in 24hr,1994-03-14 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1994-03-14,1994-03-14,585_ANHU,found on the ground,Died,No,3,Spring
1994-03-14,Lindsey,1994,1994-03-14,1994-03-14,0,Martinez,Contra Costa County,too easy to catch,caught by domestic animal,caught by domestic animal,unknown,ANHU,ANHU,unknown,Female-like ,Fledgling,adult-like,Non-selasphorus spp.,Released,1994-04-04 00:00:00,,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,"Heat, nektarplus.",1.0,1.0,0.0,0.0,0.0,yes,1994-03-14,1994-03-14,586_ANHU,caught by domestic animal,Released,No,3,Spring
1994-03-17,Lindsey,1994,1994-03-17,1994-03-17,0,Pleasant Hill,Contra Costa County,fluttering on the ground,found on the ground,found on the ground,unknown,ANHU,ANHU,unknown,Female-like ,Juvenile,adult-like,Non-selasphorus spp.,Died in 24hr,1994-03-17 00:00:00,4.50,unknown,unknown,unknown,,,,,,,,,unknown,,unknown,heat,1.0,0.0,0.0,0.0,0.0,yes,1994-03-17,1994-03-17,587_ANHU,found on the ground,Died,No,3,Spring
