"","Age_e","season","r","Heat","Fluids","Steroid","NSAID","Antibiotic","G_O","Sex_e","predicted_disposition"
"122","adult-like","Summer","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365239223366758
"123","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"124","adult-like","Summer","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.365253989408059
"125","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"126","adult-like","Fall","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181730801485928
"127","adult-like","Fall","found on the ground",1,1,0,0,0,"Selasphorus spp.","Female-like ",0.18990586664974
"128","adult-like","Fall","caught by domestic animal",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181730801485928
"129","adult-like","Fall","window hit",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.0964777797053554
"130","adult-like","Fall","found on the ground",1,0,1,0,0,"Non-selasphorus spp.","Female-like ",0.0855170355402197
"131","adult-like","Fall","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.202305630422032
"132","adult-like","Fall","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.181740272716446
"133","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"134","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"135","adult-like","Winter","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.276233830654628
"136","adult-like","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.250513423077593
"137","adult-like","Winter","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.276233830654628
"138","adult-like","Winter","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.287819469881965
"139","adult-like","Winter","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.276233830654628
"140","Nestling","Winter","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.56839952890101
"141","Nestling","Winter","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.56839952890101
"142","Nestling","Winter","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.56839952890101
"143","Nestling","Winter","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.56839952890101
"144","Nestling","Winter","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.526547517493053
"145","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"146","adult-like","Spring","window hit",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.398550612759282
"147","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"148","adult-like","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.407302276088932
"149","Nestling","Spring","found on the ground",1,1,0,0,0,"Non-selasphorus spp.","unknown",0.71818482636921
"150","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"151","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"152","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
"153","adult-like","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.412343651357241
"154","Nestling","Spring","unknown",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.700122382053803
"155","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"156","Nestling","Spring","nest-related",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.695728055509723
"157","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"158","adult-like","Spring","window hit",1,0,0,0,0,"Selasphorus spp.","Female-like ",0.346377363041384
"159","Nestling","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","unknown",0.658811599464181
"160","adult-like","Spring","found on the ground",1,0,0,0,0,"Non-selasphorus spp.","Female-like ",0.367219661665241
